"","year","inst","numx","men","women","major","stem"
"202",1975,"Private",4,6120,7706,"Humanities: Others","Non-STEM"
"203",1975,"Private",5,141047,10882,"Law and politics","Non-STEM"
"204",1975,"Private",6,400737,19429,"Commerce and economics","Non-STEM"
"205",1975,"Private",7,30442,18509,"Sociology","Non-STEM"
"206",1975,"Private",8,8025,572,"Social sciences: Others","Non-STEM"
"207",1975,"Private",9,6554,1904,"Mathematics","STEM"
"208",1975,"Private",10,6985,258,"Physics","STEM"
"209",1975,"Private",11,6138,1392,"Chemistry","STEM"
"210",1975,"Private",12,205,120,"Biology","STEM"
"211",1975,"Private",13,656,75,"Geography","STEM"
"212",1975,"Private",14,3644,319,"Physical sciences: Others","STEM"
"213",1975,"Private",15,53020,36,"Mechanical engineering","STEM"
"214",1975,"Private",16,65644,180,"Telecommunications engineering","STEM"
"215",1975,"Private",17,69330,817,"Civil engineering","STEM"
"216",1975,"Private",18,20614,525,"Applied chemistry","STEM"
"217",1975,"Private",19,3461,90,"Applied science","STEM"
"218",1975,"Private",20,871,5,"Nuclear engineering","STEM"
"219",1975,"Private",21,276,1,"Mining engineering","STEM"
"220",1975,"Private",22,3094,10,"Metallurgical engineering","STEM"
"221",1975,"Private",23,0,0,"Textile engineering","STEM"
"222",1975,"Private",24,921,2,"Marine engineering","STEM"
"223",1975,"Private",25,1372,1,"Aeronautical engineering","STEM"
"224",1975,"Private",26,18497,170,"Engineering management","STEM"
"225",1975,"Private",27,394,60,"Crafts","STEM"
"226",1975,"Private",28,5515,92,"Engineering: Others","STEM"
"227",1975,"Private",29,5769,374,"Agricultural sciences","STEM"
"228",1975,"Private",30,4271,523,"Agricultural chemistry","STEM"
"229",1975,"Private",31,1578,7,"Agricultural engineering","STEM"
"230",1975,"Private",32,5273,158,"Agricultural economics","STEM"
"231",1975,"Private",33,1626,16,"Forestry","STEM"
"232",1975,"Private",34,0,0,"Forest products","STEM"
"233",1975,"Private",35,5722,847,"Veterinary medicine","STEM"
"234",1975,"Private",36,3465,97,"Fisheries science","STEM"
"235",1975,"Private",37,821,385,"Agricultural sciences: Others","STEM"
"236",1975,"Private",38,14812,2387,"Medicine","Health"
"237",1975,"Private",39,12757,2457,"Dentistry","Health"
"238",1975,"Private",40,9199,16362,"Pharmacy","Health"
"239",1975,"Private",41,0,301,"Nursing","Health"
"240",1975,"Private",42,951,1938,"Health: Others","Health"
"241",1975,"Private",43,0,0,"Merchant marine","Non-STEM"
"242",1975,"Private",44,48,7762,"Home economics","Non-STEM"
"243",1975,"Private",45,16,7271,"Food science","Non-STEM"
"244",1975,"Private",46,0,4901,"Clothing","Non-STEM"
"245",1975,"Private",47,0,334,"Housing","Non-STEM"
"246",1975,"Private",48,0,5380,"Child","Non-STEM"
"247",1975,"Private",49,5288,9969,"Pedagogy","Non-STEM"
"248",1975,"Private",50,0,0,"Elementary school education","Non-STEM"
"249",1975,"Private",51,0,0,"Junior high school education","Non-STEM"
"250",1975,"Private",52,0,0,"High school education","Non-STEM"
"251",1975,"Private",53,0,0,"Specialized subjects education","Non-STEM"
"252",1975,"Private",54,0,0,"Visually impaired education","Non-STEM"
"253",1975,"Private",55,0,0,"Deaf education","Non-STEM"
"254",1975,"Private",56,0,0,"Special school education","Non-STEM"
"255",1975,"Private",57,0,0,"Kindergarten education","Non-STEM"
"256",1975,"Private",58,14141,5684,"Physical education","Non-STEM"
"257",1975,"Private",59,21,4928,"Pedagogy: Others","Non-STEM"
"258",1975,"Private",60,2593,2081,"Fine arts","Non-STEM"
"259",1975,"Private",61,3430,1267,"Design","Non-STEM"
"260",1975,"Private",62,1829,14924,"Music","Non-STEM"
"261",1975,"Private",63,6346,2617,"Fine arts: Others","Non-STEM"
"262",1975,"Private",64,924,1525,"Liberal arts","Non-STEM"
"263",1975,"Private",66,3070,3909,"Liberal arts (humanities and social sciene)","Non-STEM"
"264",1975,"Private",67,388,59,"Liberal arts (science)","Non-STEM"
"265",1976,"Total",1,50865,105908,"Literature","Non-STEM"
"266",1976,"Total",2,14725,11780,"History","Non-STEM"
"267",1976,"Total",3,13490,6673,"Philosophy","Non-STEM"
"268",1976,"Total",4,9267,10754,"Humanities: Others","Non-STEM"
"269",1976,"Total",5,159262,12357,"Law and politics","Non-STEM"
"270",1976,"Total",6,448637,23876,"Commerce and economics","Non-STEM"
"271",1976,"Total",7,32403,19644,"Sociology","Non-STEM"
"272",1976,"Total",8,10385,750,"Social sciences: Others","Non-STEM"
"273",1976,"Total",9,10443,2645,"Mathematics","STEM"
"274",1976,"Total",10,11679,568,"Physics","STEM"
"275",1976,"Total",11,9517,2372,"Chemistry","STEM"
"276",1976,"Total",12,2215,809,"Biology","STEM"
"277",1976,"Total",13,1884,155,"Geography","STEM"
"278",1976,"Total",14,8242,1014,"Physical sciences: Others","STEM"
"279",1976,"Total",15,72676,47,"Mechanical engineering","STEM"
"280",1976,"Total",16,88948,362,"Telecommunications engineering","STEM"
"281",1976,"Total",17,82548,930,"Civil engineering","STEM"
"282",1976,"Total",18,37307,909,"Applied chemistry","STEM"
"283",1976,"Total",19,6140,137,"Applied science","STEM"
"284",1976,"Total",20,1665,13,"Nuclear engineering","STEM"
"285",1976,"Total",21,1423,8,"Mining engineering","STEM"
"286",1976,"Total",22,7327,22,"Metallurgical engineering","STEM"
"287",1976,"Total",23,2468,136,"Textile engineering","STEM"
"288",1976,"Total",24,1750,2,"Marine engineering","STEM"
"289",1976,"Total",25,1893,4,"Aeronautical engineering","STEM"
"290",1976,"Total",26,19615,197,"Engineering management","STEM"
"291",1976,"Total",27,1007,162,"Crafts","STEM"
"292",1976,"Total",28,11843,174,"Engineering: Others","STEM"
"293",1976,"Total",29,11508,1241,"Agricultural sciences","STEM"
"294",1976,"Total",30,8547,1696,"Agricultural chemistry","STEM"
"295",1976,"Total",31,5357,35,"Agricultural engineering","STEM"
"296",1976,"Total",32,6257,223,"Agricultural economics","STEM"
"297",1976,"Total",33,4258,63,"Forestry","STEM"
"298",1976,"Total",34,575,38,"Forest products","STEM"
"299",1976,"Total",35,8824,1402,"Veterinary medicine","STEM"
"300",1976,"Total",36,6858,220,"Fisheries science","STEM"
"301",1976,"Total",37,2194,626,"Agricultural sciences: Others","STEM"
"302",1976,"Total",38,37353,4853,"Medicine","Health"
"303",1976,"Total",39,15934,3007,"Dentistry","Health"
"304",1976,"Total",40,11883,20800,"Pharmacy","Health"
"305",1976,"Total",41,29,549,"Nursing","Health"
"306",1976,"Total",42,1435,2410,"Health: Others","Health"
"307",1976,"Total",43,1882,0,"Merchant marine","Non-STEM"
"308",1976,"Total",44,63,9102,"Home economics","Non-STEM"
"309",1976,"Total",45,12,8490,"Food science","Non-STEM"
"310",1976,"Total",46,0,5834,"Clothing","Non-STEM"
"311",1976,"Total",47,51,607,"Housing","Non-STEM"
"312",1976,"Total",48,1,6328,"Child","Non-STEM"
"313",1976,"Total",49,6845,11603,"Pedagogy","Non-STEM"
"314",1976,"Total",50,15464,29868,"Elementary school education","Non-STEM"
"315",1976,"Total",51,9001,9030,"Junior high school education","Non-STEM"
"316",1976,"Total",52,427,514,"High school education","Non-STEM"
"317",1976,"Total",53,2748,2663,"Specialized subjects education","Non-STEM"
"318",1976,"Total",54,47,80,"Visually impaired education","Non-STEM"
"319",1976,"Total",55,110,301,"Deaf education","Non-STEM"
"320",1976,"Total",56,1008,2940,"Special school education","Non-STEM"
"321",1976,"Total",57,140,2527,"Kindergarten education","Non-STEM"
"322",1976,"Total",58,15734,6218,"Physical education","Non-STEM"
"323",1976,"Total",59,1081,7910,"Pedagogy: Others","Non-STEM"
"324",1976,"Total",60,3504,2147,"Fine arts","Non-STEM"
"325",1976,"Total",61,3874,2062,"Design","Non-STEM"
"326",1976,"Total",62,2344,16842,"Music","Non-STEM"
"327",1976,"Total",63,6781,3034,"Fine arts: Others","Non-STEM"
"328",1976,"Total",64,1654,1819,"Liberal arts","Non-STEM"
"329",1976,"Total",65,255,91,"General science","Non-STEM"
"330",1976,"Total",66,7235,4869,"Liberal arts (humanities and social sciene)","Non-STEM"
"331",1976,"Total",67,6474,414,"Liberal arts (science)","Non-STEM"
"332",1976,"National",1,6289,4781,"Literature","Non-STEM"
"333",1976,"National",2,1135,742,"History","Non-STEM"
"334",1976,"National",3,1013,510,"Philosophy","Non-STEM"
"335",1976,"National",4,2316,1359,"Humanities: Others","Non-STEM"
"336",1976,"National",5,14542,946,"Law and politics","Non-STEM"
"337",1976,"National",6,25106,1280,"Commerce and economics","Non-STEM"
"338",1976,"National",7,659,162,"Sociology","Non-STEM"
"339",1976,"National",8,2131,144,"Social sciences: Others","Non-STEM"
"340",1976,"National",9,3356,649,"Mathematics","STEM"
"341",1976,"National",10,4216,303,"Physics","STEM"
"342",1976,"National",11,3043,874,"Chemistry","STEM"
"343",1976,"National",12,1805,608,"Biology","STEM"
"344",1976,"National",13,1118,75,"Geography","STEM"
"345",1976,"National",14,4392,578,"Physical sciences: Others","STEM"
"346",1976,"National",15,18165,15,"Mechanical engineering","STEM"
"347",1976,"National",16,20763,146,"Telecommunications engineering","STEM"
"348",1976,"National",17,11419,101,"Civil engineering","STEM"
"349",1976,"National",18,15508,347,"Applied chemistry","STEM"
"350",1976,"National",19,2646,17,"Applied science","STEM"
"351",1976,"National",20,753,3,"Nuclear engineering","STEM"
"352",1976,"National",21,1146,6,"Mining engineering","STEM"
"353",1976,"National",22,3806,12,"Metallurgical engineering","STEM"
"354",1976,"National",23,2468,136,"Textile engineering","STEM"
"355",1976,"National",24,699,0,"Marine engineering","STEM"
"356",1976,"National",25,340,1,"Aeronautical engineering","STEM"
"357",1976,"National",26,674,3,"Engineering management","STEM"
"358",1976,"National",27,602,97,"Crafts","STEM"
"359",1976,"National",28,6419,72,"Engineering: Others","STEM"
"360",1976,"National",29,5392,809,"Agricultural sciences","STEM"
"361",1976,"National",30,4093,1088,"Agricultural chemistry","STEM"
"362",1976,"National",31,3682,28,"Agricultural engineering","STEM"
"363",1976,"National",32,844,46,"Agricultural economics","STEM"
"364",1976,"National",33,2502,50,"Forestry","STEM"
"365",1976,"National",34,575,38,"Forest products","STEM"
"366",1976,"National",35,2858,450,"Veterinary medicine","STEM"
"367",1976,"National",36,3471,121,"Fisheries science","STEM"
"368",1976,"National",37,1367,211,"Agricultural sciences: Others","STEM"
"369",1976,"National",38,18029,1730,"Medicine","Health"
"370",1976,"National",39,1780,356,"Dentistry","Health"
"371",1976,"National",40,1322,2837,"Pharmacy","Health"
"372",1976,"National",41,25,92,"Nursing","Health"
"373",1976,"National",42,427,383,"Health: Others","Health"
"374",1976,"National",43,1882,0,"Merchant marine","Non-STEM"
"375",1976,"National",44,0,200,"Home economics","Non-STEM"
"376",1976,"National",45,0,227,"Food science","Non-STEM"
"377",1976,"National",46,0,242,"Clothing","Non-STEM"
"378",1976,"National",47,0,116,"Housing","Non-STEM"
"379",1976,"National",48,0,150,"Child","Non-STEM"
"380",1976,"National",49,1047,969,"Pedagogy","Non-STEM"
"381",1976,"National",50,15464,29868,"Elementary school education","Non-STEM"
"382",1976,"National",51,9001,9030,"Junior high school education","Non-STEM"
"383",1976,"National",52,427,514,"High school education","Non-STEM"
"384",1976,"National",53,2748,2663,"Specialized subjects education","Non-STEM"
"385",1976,"National",54,47,80,"Visually impaired education","Non-STEM"
"386",1976,"National",55,110,301,"Deaf education","Non-STEM"
"387",1976,"National",56,1008,2940,"Special school education","Non-STEM"
"388",1976,"National",57,140,2527,"Kindergarten education","Non-STEM"
"389",1976,"National",58,212,58,"Physical education","Non-STEM"
"390",1976,"National",59,663,517,"Pedagogy: Others","Non-STEM"
"391",1976,"National",60,318,98,"Fine arts","Non-STEM"
"392",1976,"National",61,118,39,"Design","Non-STEM"
"393",1976,"National",62,370,556,"Music","Non-STEM"
"394",1976,"National",63,338,200,"Fine arts: Others","Non-STEM"
"395",1976,"National",64,601,144,"Liberal arts","Non-STEM"
"396",1976,"National",65,255,91,"General science","Non-STEM"
"397",1976,"National",66,4001,995,"Liberal arts (humanities and social sciene)","Non-STEM"
"398",1976,"National",67,6108,365,"Liberal arts (science)","Non-STEM"
"399",1976,"Public",1,3343,5637,"Literature","Non-STEM"
"400",1976,"Public",2,123,66,"History","Non-STEM"
"401",1976,"Public",3,20,5,"Philosophy","Non-STEM"
"402",1976,"Public",4,443,285,"Humanities: Others","Non-STEM"
"403",1976,"Public",5,2223,215,"Law and politics","Non-STEM"
"404",1976,"Public",6,11258,948,"Commerce and economics","Non-STEM"
"405",1976,"Public",7,822,646,"Sociology","Non-STEM"
"406",1976,"Public",8,0,0,"Social sciences: Others","Non-STEM"
"407",1976,"Public",9,204,33,"Mathematics","STEM"
"408",1976,"Public",10,286,10,"Physics","STEM"
"409",1976,"Public",11,212,60,"Chemistry","STEM"
"410",1976,"Public",12,128,39,"Biology","STEM"
"411",1976,"Public",13,108,7,"Geography","STEM"
"412",1976,"Public",14,291,126,"Physical sciences: Others","STEM"
"413",1976,"Public",15,1198,0,"Mechanical engineering","STEM"
"414",1976,"Public",16,1266,8,"Telecommunications engineering","STEM"
"415",1976,"Public",17,733,11,"Civil engineering","STEM"
"416",1976,"Public",18,951,10,"Applied chemistry","STEM"
"417",1976,"Public",19,175,5,"Applied science","STEM"
"418",1976,"Public",20,0,0,"Nuclear engineering","STEM"
"419",1976,"Public",21,0,0,"Mining engineering","STEM"
"420",1976,"Public",22,432,0,"Metallurgical engineering","STEM"
"421",1976,"Public",23,0,0,"Textile engineering","STEM"
"422",1976,"Public",24,140,0,"Marine engineering","STEM"
"423",1976,"Public",25,149,0,"Aeronautical engineering","STEM"
"424",1976,"Public",26,154,2,"Engineering management","STEM"
"425",1976,"Public",27,0,0,"Crafts","STEM"
"426",1976,"Public",28,0,0,"Engineering: Others","STEM"
"427",1976,"Public",29,325,54,"Agricultural sciences","STEM"
"428",1976,"Public",30,227,51,"Agricultural chemistry","STEM"
"429",1976,"Public",31,133,2,"Agricultural engineering","STEM"
"430",1976,"Public",32,0,0,"Agricultural economics","STEM"
"431",1976,"Public",33,141,1,"Forestry","STEM"
"432",1976,"Public",34,0,0,"Forest products","STEM"
"433",1976,"Public",35,125,36,"Veterinary medicine","STEM"
"434",1976,"Public",36,0,0,"Fisheries science","STEM"
"435",1976,"Public",37,0,0,"Agricultural sciences: Others","STEM"
"436",1976,"Public",38,3358,396,"Medicine","Health"
"437",1976,"Public",39,673,88,"Dentistry","Health"
"438",1976,"Public",40,696,754,"Pharmacy","Health"
"439",1976,"Public",41,0,91,"Nursing","Health"
"440",1976,"Public",42,0,0,"Health: Others","Health"
"441",1976,"Public",43,0,0,"Merchant marine","Non-STEM"
"442",1976,"Public",44,0,903,"Home economics","Non-STEM"
"443",1976,"Public",45,3,779,"Food science","Non-STEM"
"444",1976,"Public",46,0,421,"Clothing","Non-STEM"
"445",1976,"Public",47,51,135,"Housing","Non-STEM"
"446",1976,"Public",48,1,242,"Child","Non-STEM"
"447",1976,"Public",49,0,0,"Pedagogy","Non-STEM"
"448",1976,"Public",50,0,0,"Elementary school education","Non-STEM"
"449",1976,"Public",51,0,0,"Junior high school education","Non-STEM"
"450",1976,"Public",52,0,0,"High school education","Non-STEM"
"451",1976,"Public",53,0,0,"Specialized subjects education","Non-STEM"
"452",1976,"Public",54,0,0,"Visually impaired education","Non-STEM"
"453",1976,"Public",55,0,0,"Deaf education","Non-STEM"
"454",1976,"Public",56,0,0,"Special school education","Non-STEM"
"455",1976,"Public",57,0,0,"Kindergarten education","Non-STEM"
